epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4075669050216675,1.0673320293426514,0.001,0.5841346383094788,0.9790847301483154
1,0.6195017099380493,0.8532622456550598,0.001,0.7427884340286255,0.7209217548370361
2,0.7283912897109985,0.6541100144386292,0.001,0.8004807829856873,0.5591583847999573
3,0.7696093320846558,0.5921666622161865,0.001,0.7475961446762085,0.5956494212150574
4,0.8142110109329224,0.495229572057724,0.001,0.8052884340286255,0.4636424481868744
5,0.8277453184127808,0.45267587900161743,0.001,0.8269230723381042,0.5694095492362976
6,0.8385112285614014,0.42488229274749756,0.001,0.8461538553237915,0.37594443559646606
7,0.880652129650116,0.3439483344554901,0.001,0.8966346383094788,0.25850602984428406
8,0.8963395953178406,0.2926950752735138,0.001,0.9086538553237915,0.21881268918514252
9,0.914795458316803,0.25179368257522583,0.001,0.9206730723381042,0.21978481113910675
10,0.9154106378555298,0.23987828195095062,0.001,0.8894230723381042,0.23060613870620728
11,0.9104890823364258,0.23790434002876282,0.001,0.8966346383094788,0.26858681440353394
12,0.9237157702445984,0.21917200088500977,0.001,0.942307710647583,0.16522186994552612
13,0.9357120990753174,0.18341803550720215,0.001,0.9350961446762085,0.16898822784423828
14,0.939403235912323,0.18117192387580872,0.001,0.9350961446762085,0.20469841361045837
15,0.9314057230949402,0.20749503374099731,0.001,0.901442289352417,0.21775230765342712
16,0.9357120990753174,0.17628970742225647,0.001,0.9278846383094788,0.15777818858623505
17,0.93663489818573,0.17485223710536957,0.001,0.9399038553237915,0.17056944966316223
18,0.939095675945282,0.18190279603004456,0.001,0.9591346383094788,0.12297682464122772
19,0.9434020519256592,0.16055984795093536,0.001,0.9302884340286255,0.16219885647296906
20,0.9458628296852112,0.16052500903606415,0.001,0.9519230723381042,0.15729236602783203
21,0.9409412741661072,0.18344295024871826,0.001,0.9663461446762085,0.09043558686971664
22,0.9477083683013916,0.1529151052236557,0.001,0.9615384340286255,0.09771796315908432
23,0.9486311674118042,0.13946111500263214,0.001,0.973557710647583,0.0799984261393547
24,0.9477083683013916,0.15514050424098969,0.001,0.96875,0.08594579249620438
25,0.9572439193725586,0.13160517811775208,0.001,0.9254807829856873,0.20178547501564026
26,0.9578590989112854,0.12152222543954849,0.001,0.9591346383094788,0.11265646666288376
27,0.9541679620742798,0.13079063594341278,0.001,0.9399038553237915,0.1569778323173523
28,0.9461703896522522,0.152174174785614,0.001,0.9591346383094788,0.12349811941385269
29,0.9547831416130066,0.12436509132385254,0.001,0.9495192170143127,0.12144334614276886
30,0.963395893573761,0.10966251790523529,0.001,0.9807692170143127,0.07125955075025558
31,0.9640110731124878,0.11048656702041626,0.001,0.9447115659713745,0.15353924036026
32,0.9600123167037964,0.1176062822341919,0.001,0.942307710647583,0.16968931257724762
33,0.963395893573761,0.10745850950479507,0.001,0.9783653616905212,0.0791170671582222
34,0.9652414917945862,0.11984515190124512,0.001,0.973557710647583,0.07325030863285065
35,0.9578590989112854,0.13071595132350922,0.001,0.963942289352417,0.10899703204631805
36,0.9532451629638672,0.12615995109081268,0.001,0.9711538553237915,0.06569374352693558
37,0.965856671333313,0.10555315762758255,0.001,0.973557710647583,0.06249492987990379
38,0.9652414917945862,0.10708380490541458,0.001,0.9855769276618958,0.05267683416604996
39,0.9698554277420044,0.09883137792348862,0.001,0.973557710647583,0.09316658228635788
40,0.9621654748916626,0.1089857891201973,0.001,0.96875,0.07923468947410583
41,0.9704706072807312,0.0926782414317131,0.001,0.9519230723381042,0.1279464066028595
42,0.9664718508720398,0.1030043438076973,0.001,0.9230769276618958,0.23942063748836517
43,0.9704706072807312,0.09938318282365799,0.001,0.9447115659713745,0.18717646598815918
44,0.956321120262146,0.12959487736225128,0.001,0.963942289352417,0.08221320807933807
45,0.966164231300354,0.10467472672462463,0.001,0.9783653616905212,0.051487646996974945
46,0.9689326286315918,0.09230631589889526,0.001,0.96875,0.06759215891361237
47,0.968317449092865,0.09968364238739014,0.001,0.9783653616905212,0.049488503485918045
48,0.9723162055015564,0.08665483444929123,0.001,0.9807692170143127,0.05253692343831062
49,0.9670870304107666,0.10259566456079483,0.001,0.9711538553237915,0.0658668726682663
50,0.9677022695541382,0.09580057114362717,0.001,0.9903846383094788,0.04371010884642601
51,0.965856671333313,0.0928298830986023,0.001,0.9711538553237915,0.06407245993614197
52,0.963703453540802,0.11705227941274643,0.001,0.9615384340286255,0.1010645180940628
53,0.956013560295105,0.12676022946834564,0.001,0.96875,0.06249936297535896
54,0.9717010259628296,0.08611895143985748,0.001,0.9903846383094788,0.040493614971637726
55,0.973239004611969,0.09238427132368088,0.001,0.9807692170143127,0.056837376207113266
56,0.9578590989112854,0.11667030304670334,0.001,0.9759615659713745,0.062229886651039124
57,0.9692402482032776,0.0845184251666069,0.001,0.9807692170143127,0.04540341719985008
58,0.966164231300354,0.10467435419559479,0.001,0.9903846383094788,0.05353019759058952
59,0.9692402482032776,0.08111017197370529,0.001,0.9855769276618958,0.056271594017744064
60,0.9710858464241028,0.08521191030740738,0.001,0.963942289352417,0.07245765626430511
61,0.968317449092865,0.09172213822603226,0.001,0.96875,0.08217255026102066
62,0.9704706072807312,0.08977867662906647,0.001,0.96875,0.09434421360492706
63,0.970778226852417,0.08616684377193451,0.001,0.9807692170143127,0.04164852946996689
64,0.9763149619102478,0.0769994854927063,0.001,0.9831730723381042,0.053442247211933136
65,0.9824669361114502,0.056008584797382355,0.00020000001,0.9903846383094788,0.0303959921002388
66,0.9833897352218628,0.05830822139978409,0.00020000001,0.9879807829856873,0.02862548641860485
67,0.9796985387802124,0.05856623500585556,0.00020000001,0.9903846383094788,0.03388433903455734
68,0.9846200942993164,0.04678092151880264,0.00020000001,0.995192289352417,0.023031068965792656
69,0.9840049147605896,0.047079212963581085,0.00020000001,0.9903846383094788,0.023971179500222206
70,0.985542893409729,0.04959644004702568,0.00020000001,0.9927884340286255,0.020199023187160492
71,0.9833897352218628,0.04952741786837578,0.00020000001,0.9903846383094788,0.027713924646377563
72,0.982774555683136,0.05094951391220093,0.00020000001,0.9975961446762085,0.018410546705126762
73,0.9840049147605896,0.04923706129193306,0.00020000001,0.995192289352417,0.019370874390006065
74,0.9843125343322754,0.04779578745365143,0.00020000001,0.9927884340286255,0.022753192111849785
75,0.9818517565727234,0.061437249183654785,0.00020000001,0.9807692170143127,0.04551740363240242
76,0.9849277138710022,0.048713892698287964,0.00020000001,0.9927884340286255,0.025456268340349197
77,0.982774555683136,0.04690961167216301,0.00020000001,0.9975961446762085,0.019752267748117447
78,0.988003671169281,0.03913712874054909,0.00020000001,0.9927884340286255,0.025787385180592537
79,0.9846200942993164,0.04384656623005867,0.00020000001,0.9975961446762085,0.01587054319679737
80,0.9840049147605896,0.044754888862371445,0.00020000001,0.995192289352417,0.019909854978322983
81,0.9873884916305542,0.04000335559248924,0.00020000001,0.995192289352417,0.023560084402561188
82,0.9864656925201416,0.043852798640728,0.00020000001,0.9903846383094788,0.023124882951378822
83,0.9818517565727234,0.05334869772195816,0.00020000001,0.9975961446762085,0.019171657040715218
84,0.9870808720588684,0.03878496587276459,0.00020000001,0.9879807829856873,0.03236453980207443
85,0.9873884916305542,0.03817933425307274,0.00020000001,0.995192289352417,0.01825154945254326
86,0.9870808720588684,0.03925628960132599,0.00020000001,0.9879807829856873,0.030999772250652313
87,0.9836972951889038,0.046663377434015274,0.00020000001,0.9903846383094788,0.020217150449752808
88,0.9867733120918274,0.03821928799152374,0.00020000001,0.995192289352417,0.01546502485871315
89,0.985542893409729,0.04971342906355858,0.00020000001,0.9975961446762085,0.015218562446534634
90,0.9898492693901062,0.035491615533828735,0.00020000001,0.9927884340286255,0.02453487366437912
91,0.9864656925201416,0.04477028548717499,0.00020000001,0.9855769276618958,0.04030671343207359
92,0.9849277138710022,0.05196082964539528,0.00020000001,0.9975961446762085,0.020227322354912758
93,0.9886189103126526,0.04619687795639038,0.00020000001,0.9975961446762085,0.018655870109796524
94,0.9913872480392456,0.03394803777337074,0.00020000001,0.9927884340286255,0.024882474914193153
95,0.985542893409729,0.051083069294691086,0.00020000001,0.9879807829856873,0.02467978000640869
96,0.9858505129814148,0.04471208527684212,0.00020000001,0.9927884340286255,0.031021801754832268
97,0.9861581325531006,0.042277589440345764,0.00020000001,0.995192289352417,0.020819276571273804
98,0.9864656925201416,0.03934607282280922,0.00020000001,0.9903846383094788,0.024410627782344818
99,0.9870808720588684,0.03786417096853256,0.00020000001,0.9975961446762085,0.01794864609837532
